book_index,family_id,home,slug,space_claim,claim_kind,evidence,time,coordinates,relations,support,boundary,source,reason,limit
"B001","SPF050","automata","synchronous-local-state-transform","t+1D ordered lattice","native","shown","discrete t∈N; each step appends an immutable complete t+1 slice","[t,x] with x∈Z or a finite integer interval","fixed left/right or declared finite-radius stencil adjacency","fixed spatial support per episode; finite or countably infinite","none on Z; cyclic finite boundary is shown","ref/A-New-Kind-of-Science/CHAPTERS/02-The-Crucial-Experiment/02-The-Crucial-Experiment.md:L13-L23 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes/02-The-Crucial-Experiment-Notes.md:L112-L120","The Book defines a line of cells whose next values all read the old slice; its implementation discussion explicitly requires old-neighbor values and shows a cyclic finite array.","A singleton spatial extent still retains the x axis; erasing x would hide the address structure inside one value."
"B001","SPF050","automata","synchronous-local-state-transform","t+2D regular lattice","variant","shown","discrete t∈N; each step appends an immutable complete t+1 slice","[t,x,y]","fixed square-grid or other declared 2D lattice adjacency","fixed 2D support per episode; finite or countably infinite","unbounded or declared finite boundary; periodic examples are stated","ref/A-New-Kind-of-Science/CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L27-L34 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L159-L182","The Book directly defines two-dimensional cellular automata and shows square; triangular; hexagonal; pentagonal; and nonrepetitive tiling geometries.","The tiling must supply finitely many local cell/neighborhood types understood by the rule."
"B001","SPF050","automata","synchronous-local-state-transform","t+3D regular lattice","variant","shown","discrete t∈N; each step appends an immutable complete t+1 slice","[t,x,y,z]","fixed face or declared finite-stencil adjacency","fixed 3D support per episode; finite or countably infinite","unbounded or a declared total finite-support resolver","ref/A-New-Kind-of-Science/CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L103-L123","The Book shows three-dimensional cellular automata with both six-neighbor and 26-neighbor stencils.","A stacked history of a 2D automaton is [t,x,y], not this [t,x,y,z] Space."
"B001","SPF050","automata","synchronous-local-state-transform","t+dD regular lattice for every finite d>=1","variant","proved","discrete t∈N; each step appends an immutable complete t+1 slice","[t,x_1,...,x_d] for finite d>=1","a fixed finite stencil expressed by offsets or finitely many cell types","fixed rank-d support per episode","none on an infinite lattice; otherwise any declared rank-preserving resolver that makes every old-slice read total","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L172-L186","For fixed finite d; replace each 1D or 2D offset by a vector in Z^d. Every output still reads one bounded old-slice neighborhood and all outputs commit together; no part of the transition law depends on d. The Notes explicitly discuss 4D and higher-dimensional lattices.","Requires finite local type/stencil data and fixed topology during a step; it does not admit topology-changing network rewrites."
"B001","SPF050","automata","synchronous-local-state-transform","t+fixed homogeneous graph","variant","stated","discrete t∈N; each step appends an immutable complete t+1 slice","[t,v]","fixed graph adjacency; finitely many rooted-neighborhood types; edge labels when non-totalistic rules need them","fixed node and edge set per episode","graph has no geometric edge boundary; any exceptional nodes must have declared types","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L172-L186","The Book states that cells can be nodes of a network and gives the homogeneity conditions needed for nearest- and longer-range rules.","Changing nodes or edges is excluded; that is structural network rewrite rather than a fixed-support local transform."
"B001","SPF050","automata","synchronous-local-state-transform","one-shot t+2D raster transform","variant","shown","explicit stages t∈{0,1}; output is an immutable t=1 slice","[t,x,y]","fixed local raster window or periodic threshold relation","fixed input/output raster support","the operator must declare how edge windows resolve; periodic threshold tiling is shown","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L323-L347 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L330-L348","Feature extraction is explicitly described as one step of a two-dimensional block cellular automaton; ordered dither is another parallel per-pixel transform. Feedback is optional rather than implicit.","A one-shot transform has two explicit stages and must not be mislabeled t-only merely because it is not iterated."
"B001","SPF050","automata","synchronous-local-state-transform","t-only whole-configuration packing","encoding","proved","discrete t∈N","[t] with an entire lattice or graph stored as one value","all spatial relations hidden inside the value","one compound value per time","hidden inside the compound value","ref/A-New-Kind-of-Science/CHAPTERS/02-The-Crucial-Experiment/02-The-Crucial-Experiment.md:L17-L23 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L172-L186","Packing the complete configuration into one scalar address can simulate the evolution but erases independently read and written cell or node coordinates; it is therefore an encoding and not an admitted native Space.","A genuine single-site iterated map is a different mechanics family."
"B002","SPF030","machina","mobile-head-grid-rewrite","t+1D line or tape","native","shown","discrete t∈N; each move appends an immutable complete t+1 slice","[t,x]","fixed left/right adjacency; one active address moves by one edge","fixed finite line or countably infinite tape; only the active footprint changes and all other x values copy forward","unbounded blank extension; or a finite endpoint that stops/halts unless another behavior is declared","ref/A-New-Kind-of-Science/CHAPTERS/03-The-World-of-Simple-Programs/03-The-World-of-Simple-Programs.md:L165-L179 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes/03-The-World-of-Simple-Programs-Notes.md:L227-L268 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes/03-The-World-of-Simple-Programs-Notes.md:L292-L332","Mobile automata and Turing machines are directly defined on a line/tape with one active cell/head; the Notes show both finite-list and unbounded blank-tape realizations.","The head position and control state do not add spatial axes; they are state attached to one active address."
"B002","SPF030","machina","mobile-head-grid-rewrite","t+2D grid","variant","shown","discrete t∈N; each move appends an immutable complete t+1 slice","[t,x,y]","fixed four-neighbor square-grid adjacency; the rule selects one displacement","fixed 2D grid; only the head footprint changes and all other cells copy forward","unbounded in the shown construction; a finite realization needs an explicit move-at-boundary result","ref/A-New-Kind-of-Science/CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L125-L139 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L188-L216","The Book directly generalizes the head from a 1D tape to a 2D grid and gives the exact state/write/vector-displacement step.","The arrow used to depict head state is explicitly not a grid direction and therefore remains an Alphabet/control value."
"B002","SPF030","machina","mobile-head-grid-rewrite","t+dD regular lattice for every finite d>=1","variant","proved","discrete t∈N; each move appends an immutable complete t+1 slice","[t,x_1,...,x_d] for finite d>=1","fixed locally finite lattice adjacency with a finite move alphabet","fixed rank-d support; one bounded head footprint changes and all other locations copy forward","unbounded; finite quotient/wrap; blank extension; or a declared boundary transition yielding a valid coordinate or halt","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes/03-The-World-of-Simple-Programs-Notes.md:L292-L332 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L188-L216 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes/07-Mechanisms-in-Programs-and-Nature-Notes.md:L304-L315","Replace the 2D displacement pair by one vector from a finite subset of Z^d. The transition still reads the head state and symbol at one address; writes that address; updates control; and moves one edge. The self-avoiding mobile variant is explicitly discussed for general d. Thus [t,x,y,z] is included as d=3 and every higher finite d is included by the same construction.","The proof requires finite d; a locally finite move set; and fixed topology. It does not establish continuous motion or topology mutation."
"B002","SPF030","machina","mobile-head-grid-rewrite","t+2D square or hexagonal lattice","variant","stated","discrete t∈N; each move appends an immutable complete t+1 slice","[t,x,y] or [t,v] with a 2D embedding","square- or hexagonal-lattice adjacency","fixed lattice","no boundary is specified in the cited examples","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L198-L216 | ref/A-New-Kind-of-Science/CHAPTERS/07-Mechanisms-in-Programs-and-Nature/07-Mechanisms-in-Programs-and-Nature.md:L393-L415","The Notes describe 2D Turing-like worms on a hexagonal grid and the main text shows mobile walks on square and hexagonal lattices; changing the regular adjacency does not add a value field.","This does not establish every irregular or unlabelled graph as a native grid-rewrite Space."
"B002","SPF030","machina","mobile-head-grid-rewrite","head-tagged tape versus separate head register","encoding","shown","discrete t∈N","the same [t,x_1,...,x_d] Space in both representations","head identity is either a distinguished value at one coordinate or a separate pointer selecting that coordinate","unchanged spatial support","unchanged Space boundary","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes/03-The-World-of-Simple-Programs-Notes.md:L292-L324","The Notes give both a factored triple {state;tape;position} and an alternative tape value tagged with head state. These change value encoding and write footprint; they do not create different coordinate Spaces.","Exactly one active head remains an invariant in either encoding."
"B002","SPF030","machina","mobile-head-grid-rewrite","t+arbitrary irregular graph","unknown","unresolved","would require explicit discrete t","would be [t,v]","would require a rule-compatible incident-edge selector or finite rooted-neighborhood types","would require fixed graph support","would require declared exceptional-node behavior","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L188-L216 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L450-L466","A head can mathematically be moved on a graph; however the cited mobile-head passages establish grids and regular lattices while the Book treats sequential network systems separately. The available evidence does not settle whether the canonical family should absorb the irregular-graph case.","Resolve only if a source or a taxonomy-level mechanics proof shows that graph-relative edge selection preserves this family's rule schema rather than crossing into active-node network rewrite."
"B003","SPF032","automata","multi-active-local-rewrite","t+1D lattice with a finite active set","native","shown","discrete t∈N; every simultaneous application appends an immutable complete t+1 slice","[t,x]","fixed left/right adjacency; zero or more active coordinates move split or disappear","fixed line/tape support; finite active subset; non-Frontier cells copy forward","unbounded or a declared active-site boundary transition","ref/A-New-Kind-of-Science/CHAPTERS/03-The-World-of-Simple-Programs/03-The-World-of-Simple-Programs.md:L231-L249 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/03-The-World-of-Simple-Programs-Notes/03-The-World-of-Simple-Programs-Notes.md:L283-L290","Generalized mobile automata are shown on a 1D cell array with any number of simultaneously active cells that move; split; or disappear.","A single active site is the SPF030 specialization; an everywhere-active fixed set approaches synchronous local transform."
"B003","SPF032","automata","multi-active-local-rewrite","t+2D lattice streams","variant","stated","discrete t∈N; every simultaneous application appends an immutable complete t+1 slice","[t,x,y]","fixed local lattice directions; active tips merge on collision","fixed 2D lattice with a finite or source-generated active-tip set","the landscape example does not specify an outer boundary","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes/08-Implications-for-Everyday-Systems-Notes.md:L127-L130","The Book describes discrete streams moving in two spatial directions and merging irreversibly when they meet; this is the multi-active collision form in two dimensions.","The passage establishes coalescence on a slope but not arbitrary 2D topology."
"B003","SPF032","automata","multi-active-local-rewrite","t+dD regular lattice for every finite d>=1","variant","proved","discrete t∈N; every simultaneous application appends an immutable complete t+1 slice","[t,x_1,...,x_d] for finite d>=1","fixed finite displacement set and simultaneous collision relation","fixed rank-d support with a finite active subset at every finite t","unbounded or any declared boundary transition that resolves each proposed move before the shared commit","ref/A-New-Kind-of-Science/CHAPTERS/03-The-World-of-Simple-Programs/03-The-World-of-Simple-Programs.md:L231-L249 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes/08-Implications-for-Everyday-Systems-Notes.md:L127-L130","For each finite d; replace left/right offsets by a finite subset of Z^d. Each active coordinate independently emits a finite set of moves/writes from the immutable t slice; union and the same declared collision law create t+1. Dimension does not enter the split/delete/merge invariant.","Requires finite offspring per active site; finite active support at finite t; and a total conflict law."
"B003","SPF032","automata","multi-active-local-rewrite","t+fixed bounded-degree edge-labelled graph","variant","proved","discrete t∈N; every simultaneous application appends an immutable complete t+1 slice","[t,v]","fixed edge-labelled adjacency; local rule emits finitely many target-edge labels; shared collision relation","fixed graph and a finite active-node subset at every finite t","exceptional nodes must resolve a missing selected edge as stop; delete; or another declared result","ref/A-New-Kind-of-Science/CHAPTERS/03-The-World-of-Simple-Programs/03-The-World-of-Simple-Programs.md:L231-L249 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes/08-Implications-for-Everyday-Systems-Notes.md:L127-L130","The lattice proof uses only a finite set of named outgoing relations; replacing offsets by edge labels preserves every read; finite emission; simultaneous commit; and collision invariant on a fixed bounded-degree graph.","Unlabelled irregular incidence without a rule-defined selector is not covered; adding or deleting graph edges crosses into topology rewrite."
"B003","SPF032","automata","multi-active-local-rewrite","active flags packed into cell values","encoding","proved","discrete t∈N","the same [t,x_1,...,x_d] or [t,v] Space","activity is stored as a value bit instead of a separate finite coordinate set","unchanged support","unchanged Space boundary","ref/A-New-Kind-of-Science/CHAPTERS/03-The-World-of-Simple-Programs/03-The-World-of-Simple-Programs.md:L231-L249","A per-cell ACTIVE value can encode the active set and can make Frontier derivable; it does not eliminate the independently addressed loci on which movement and collision occur.","Packing the entire configuration into one value would be a non-native whole-state encoding."
"B004","SPF037","substitua","parallel-independent-substitution","t+1D ordered word","native","shown","discrete generation t∈N; each generation appends an immutable complete t+1 slice","[t,i] with i an ordered position in the current finite word","total left-to-right order; no neighbor relation is read by the rule","finite dynamic support that may grow or shrink; every old item is in the Frontier","inapplicable to independent reads; finite word endpoints only determine concatenation order","ref/A-New-Kind-of-Science/CHAPTERS/03-The-World-of-Simple-Programs/03-The-World-of-Simple-Programs.md:L295-L331 | ref/A-New-Kind-of-Science/CHAPTERS/03-The-World-of-Simple-Programs/03-The-World-of-Simple-Programs.md:L341-L363","Each symbol is independently replaced by a finite word and all replacements concatenate in one generation; deletion is an empty replacement. Since every old item acts; no non-Frontier copy is needed.","A context read would move the system to SPF005; a one-match-at-a-time scan would move it to sequential structural rewrite."
"B004","SPF037","substitua","parallel-independent-substitution","t+2D aligned block grid","variant","shown","discrete generation t∈N; each generation appends an immutable complete t+1 slice","[t,x,y]","fixed rectangular-grid order and parent-to-child block placement","finite dynamic rectangular support; every old tile is replaced","no external boundary read; child blocks must assemble compatibly","ref/A-New-Kind-of-Science/CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L171-L189","The Book shows every old square being replaced independently by a block of smaller grid-aligned squares.","Unequal or incompatible child patch shapes need an explicit mosaic law; overlap is not silently resolved."
"B004","SPF037","substitua","parallel-independent-substitution","t+dD aligned block grid for every finite d>=1","variant","proved","discrete generation t∈N; each generation appends an immutable complete t+1 slice","[t,x_1,...,x_d] for finite d>=1","rank-d product order and declared parent-to-child block placement","finite dynamic rank-d support; every old tile is replaced","no external boundary read; replacement blocks must tile the successor support","ref/A-New-Kind-of-Science/CHAPTERS/03-The-World-of-Simple-Programs/03-The-World-of-Simple-Programs.md:L295-L307 | ref/A-New-Kind-of-Science/CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L171-L189","For fixed finite d; let every symbol emit a finite rank-d block and assemble blocks in the rank-d product order. Independence; all-item Frontier; atomic generation commit; and immutable history are unchanged.","The proof requires a declared compatible assembly law; it does not cover neighbor-conditioned blocks or topology-changing graph replacement."
"B004","SPF037","substitua","parallel-independent-substitution","t+occurrence space with a finite-dimensional Euclidean pose","variant","stated","discrete generation t∈N; each generation appends an immutable complete t+1 slice","[t,o] for occurrence identity o; pose(o)∈R^d is a value for any finite d","parent-child lineage; optional geometric embedding; no neighbor relation is read","finite occurrence multiset; every occurrence emits finitely many children; overlaps preserve multiplicity","inapplicable because replacement never queries outside a geometric boundary","ref/A-New-Kind-of-Science/CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L189-L217 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L328-L335","Free geometric substitution acts on occurrences and their poses; the Notes state that affine transformations generalize to any number of dimensions. Occurrence identity remains necessary because geometrical children may overlap; the embedding dimension is therefore not automatically an address axis.","If spatial position itself becomes the lookup key for interaction; the corresponding Euclidean axes enter Space and the system is no longer neighbor-independent."
"B004","SPF037","substitua","parallel-independent-substitution","branching tree picture of a word substitution","encoding","shown","discrete generation t∈N","native current-state addresses remain [t,i]; lineage can be exposed as [n] nodes with parent edges","parent-child derivation relation","accumulated derivation tree rather than only the current word","inapplicable","ref/A-New-Kind-of-Science/CHAPTERS/03-The-World-of-Simple-Programs/03-The-World-of-Simple-Programs.md:L321-L331","The Book explicitly presents the same substitutions as trees to reveal nesting. Unless later rules read or write ancestors; this is a trace/lineage representation rather than a new native current-state Space.","A genuinely tree-addressed rewrite whose mechanics inspect parent/child structure belongs to a structural tree-rewrite family."
"B005","SPF005","substitua","context-dependent-substitution","t+1D ordered word with bounded context","native","shown","discrete generation t∈N; each generation appends an immutable complete t+1 slice","[t,i] with i an ordered position in the current finite word","total order plus a fixed finite left/right context relation","finite dynamic support; eligible old positions act in parallel","shown edge rule is partial: the rightmost item is omitted when its required right context is absent","ref/A-New-Kind-of-Science/CHAPTERS/03-The-World-of-Simple-Programs/03-The-World-of-Simple-Programs.md:L333-L337","The Book directly defines replacement from a symbol and its right neighbor; every eligible old position reads the immutable old word and replacements form one new generation.","The exact shown boundary behavior is omission/deletion; padding and reflection are not silently inferred."
