document_id,raw_start_line,raw_end_line,first_pass,second_pass,authoritative_start,authoritative_end,reviewer_type,notes
PUBLICATION_AND_CONTENTS,1,85,YES,YES,pdf:0001,pdf:0008,agent,First pass and fresh rebuilt second pass completed 2026-07-15 over all eight pages; 20 guarded corrections G5-C-0001 through G5-C-0020; pages 2 6 and 8 are intentional blanks; decorative title artwork dispositioned without extraction; focused render and tests passed
PREFACE,86,165,YES,YES,pdf:0009,pdf:0016,agent,Sequential first pass and independent fresh rebuilt second pass completed 2026-07-15 over all eight pages; 59 guarded corrections G5-C-0021 through G5-C-0079; page 15 divider and page 16 intentional blank dispositioned; exact text emphasis render detectors and focused tests passed
CH01,166,397,YES,YES,pdf:0017,pdf:0038,agent,Complete forward first pass and independent fresh rebuilt second pass finished 2026-07-15 over all 22 nonblank pages; 27 guarded corrections G5-C-0080 through G5-C-0106; exact prose punctuation hierarchy emphasis and paragraph structure rechecked; all three assets and captions verified including the repaired-only opener; focused render detectors builds and tests passed
CH02,398,679,YES,YES,pdf:0039,pdf:0066,agent,Complete forward first pass and independent fresh second pass finished 2026-07-15 over all 28 pages; 26 guarded corrections G5-C-0107 through G5-C-0132; final 6685-token source/candidate sequence and exact punctuation matched; all 19 legacy figures and captions plus three source-added visuals checked; figure and plate groups canonically serialized without splitting prose; focused render detectors builds and tests passed
CH03,680,1367,YES,YES,pdf:0067,pdf:0130,agent,Complete forward first pass and independent clean second pass finished 2026-07-15 over all 64 pages including intentional blank PDF 130; 61 guarded corrections G5-C-0133 through G5-C-0193; all 248 final live-text blocks and 87 final images verified; no discrepancy or ambiguity remained
CH04,1368,2141,YES,YES,pdf:0131,pdf:0184,agent,Complete forward first pass and fresh restarted independent second pass finished 2026-07-15 over all 54 pages; 110 guarded corrections G5-C-0194 through G5-C-0303; final 243 live blocks including 11 tables and 172 TeX spans verified; all 63 assets and both continuation markers checked; no discrepancy or ambiguity remained
CH05,2142,2699,YES,YES,pdf:0185,pdf:0238,agent,Complete forward first pass and independent fresh final-output second pass finished 2026-07-15 over all 54 pages including intentional blank PDF 238; 52 guarded corrections G5-C-0304 through G5-C-0355; full 556-line final Markdown and all 80 final image references rechecked; 77 mapped figures plus 3 source-added visuals and 11 repaired-only overrides pass with no discrepancy or ambiguity
CH06,2700,3419,YES,YES,pdf:0239,pdf:0312,agent,Complete forward first pass and independent fresh source technical and visual second passes finished 2026-07-15 over all 74 pages; 44 guarded corrections G5-C-0356 through G5-C-0399; final 710-line Markdown and 105 accounting references verified; 99 mapped references plus 6 additions and 7 repaired-only overrides close with zero discrepancy or ambiguity
CH07,3420,4335,YES,YES,pdf:0313,pdf:0378,agent,Complete forward first pass and fresh independent source technical and visual second passes finished 2026-07-15 over all 66 pages including intentional blank PDF 378; 53 guarded corrections G5-C-0400 through G5-C-0452; final 872-line Markdown and all 92 accounting references verified; 80 mapped originals plus 12 repaired-only overrides close with zero discrepancy or ambiguity
CH08,4336,5163,YES,YES,pdf:0379,pdf:0448,agent,Complete forward first pass and fresh independent source technical and visual second passes finished 2026-07-15 over all 70 pages; 47 guarded corrections G5-C-0453 through G5-C-0499; final 770-line Markdown and all 45 accounting references verified; 43 mapped references plus 2 additions and 9 repaired-only overrides close with zero discrepancy or ambiguity
CH09,5164,6585,YES,YES,pdf:0449,pdf:0562,agent,Complete forward first pass and fresh independent source technical and visual final-output passes finished 2026-07-16 over all 114 pages including blank PDF 562; 77 guarded corrections G5-C-0500 through G5-C-0576; final 1374-line Markdown and all 113 image references verified; one mapped override plus 3 additions close with zero discrepancy or ambiguity
CH10,6586,7691,YES,YES,pdf:0563,pdf:0652,agent,Complete forward first pass and fresh independent source technical and visual final-output passes finished 2026-07-16 over all 90 pages including blank PDF 652; 90 guarded corrections G5-C-0577 through G5-C-0666; final 1014-line Markdown and all 78 image references verified; 62 mapped originals plus 5 repaired-only overrides plus 11 additions close with zero discrepancy or ambiguity
CH11,7692,8607,YES,YES,pdf:0653,pdf:0730,agent,Complete forward first pass and fresh independent source technical and visual final-output passes finished 2026-07-16 over all 78 pages; 64 guarded corrections G5-C-0667 through G5-C-0730; final 874-line Markdown and all 108 image references verified; 93 mapped originals plus 14 repaired-only overrides plus 1 addition close with zero discrepancy or ambiguity
CH12,8608,10622,YES,YES,pdf:0731,pdf:0864,agent,Complete forward first pass and wholly fresh post-recrop source technical and visual final-output passes finished 2026-07-16 over all 134 pages including closing plate PDF 863 and intentional blank PDF 864; 131 guarded corrections G5-C-0731 through G5-C-0861; final 1686-line Markdown and all 66 unique image references verified; 59 mapped originals plus 7 additions close with zero discrepancy or ambiguity; theorem plates were reopened recropped and all closing passes restarted
GENERAL_NOTES,10623,10817,YES,YES,pdf:0865,pdf:0874,agent,Complete forward first pass and wholly fresh post-integration source technical and visual closing passes finished 2026-07-16 over all 10 pages including intentional blank PDF 874; 21 guarded corrections G5-C-0862 through G5-C-0882; final 191-line Markdown with 32 main notes 45 program expressions 32 table cells two inline patterns and one mapped reference verified; all closing passes restarted from PDF 865 and close with zero discrepancy or ambiguity
N01,10818,10894,YES,YES,pdf:0875,pdf:0880,agent,Complete forward first pass and wholly fresh post-italic-fix source technical and visual closing passes finished 2026-07-16 over all 6 text-only pages; 23 guarded corrections G5-C-0883 through G5-C-0905; final 75-line Markdown with 22 main notes five Timeline subitems nine italic spans 21 en dashes 32 em dashes and zero mapped images verified; italic-title comma reopened the target and all closing passes restarted from PDF 875 before closing with zero discrepancy or ambiguity
N02,10895,11630,YES,YES,pdf:0881,pdf:0898,agent,Complete forward first pass and wholly fresh post-Science-Citation source technical and visual closing passes finished 2026-07-16 over all 18 pages; 43 guarded corrections G5-C-0906 through G5-C-0948; final 86695-byte 915-line Markdown with 47 fenced blocks 105 inline-code spans 175 emphasis spans and 56 image references verified; 54 mapped references plus 2 additions and 8 repaired-only overrides close with zero discrepancy ambiguity or source omission after all 27 typography reopenings
